id,SpaceType,SpaceType_1,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,F,Q4
RC2_F3_EF_DL01,Educational Facilities,Computer Rooms,43.37,117.55,3,2.71,50,2,27.1,0.00596,3,46.07,0.01014,10,6.3,0.232,17,0.6248,0.2305,19.21,12,0.008245335,0.13688,6.384,0.312,16.090244,0.593735941
RC2_F3_EF_SR01,Educational Facilities,Computer Rooms,100.25,271.68,3,2.71,5,1,30.49,0.00671,6,107.72,0.0237,10,8.4,0.276,40,0.3041,0.1122,19.86,12.66,0.008025636,0.07407,6.016,0.294,20.1233376,0.659997953
RC2_F3_O_O01,Offices,Single Cellular Office,9.75,26.42,3,2.71,230,2,16.94,0.00373,2,16.94,0.00373,10,2.1,0.124,1,1.7372,0.641,18.44,11.23,0.005346391,1.38163,12.328,0.602,36.5026646,2.154820815
RC2_F3_O_O02,Offices,Shared Cellular Offices,15.06,40.82,3,2.71,275,1,11.52,0.00253,3,31.84,0.00701,10,2.1,0.182,3,0.7646,0.2822,18.97,11.76,0.006367295,0.70047,8.111,0.396,28.5931854,2.482047344
RC2_F3_O_O03,Offices,Shared Cellular Offices,15,40.65,3,2.71,275,1,10.84,0.00238,3,31.17,0.00686,10,4.2,0.387,3,0.7227,0.2667,19.63,12.42,0.00665901,0.66846,7.711,0.376,27.172899,2.506725
RC2_F3_O_O04,Offices,Shared Cellular Offices,15.06,40.82,3,2.71,275,1,11.52,0.00253,3,31.84,0.00701,10,2.1,0.182,3,0.7646,0.2822,19.67,12.46,0.006586291,0.70871,7.89,0.385,28.9295422,2.511244983
RC2_F3_O_O05,Offices,Single Cellular Office,9.75,26.42,3,2.71,275,1,8.13,0.00179,3,25.75,0.00566,10,2.1,0.258,1,0.8338,0.3077,19.48,12.28,0.005857876,0.78361,8.236,0.402,20.7029762,2.546491538
RC2_F3_O_O06,Offices,Shared Cellular Offices,22.31,60.47,3,2.71,95,1,14.23,0.00313,3,41.33,0.00909,10,4.2,0.295,5,0.6376,0.2353,20.14,12.93,0.0086184,0.04364,4.596,0.224,2.6389108,0.185446999
RC2_F3_O_O07,Offices,Single Cellular Office,9.56,25.91,3,2.71,95,1,6.1,0.00134,3,33.2,0.0073,10,2.1,0.344,1,0.6376,0.2353,19.54,12.33,0.006940945,0.0486,6.46,0.315,1.259226,0.206430492
RC2_F3_O_O08,Offices,Shared Cellular Offices,14.63,39.63,3,2.71,275,1,12.2,0.00268,3,29.81,0.00656,10,4.2,0.344,2,0.8338,0.3077,19.84,12.63,0.006679911,0.79174,8.272,0.404,31.3766562,2.571857066
RC2_F3_O_O09,Offices,Shared Cellular Offices,13,35.23,3,2.71,275,1,10.84,0.00238,3,28.46,0.00626,10,2.1,0.194,2,0.8338,0.3077,20.18,12.97,0.006592969,0.80345,8.697,0.424,28.3055435,2.6112125
RC2_F3_O_O10,Offices,Open Offices,80.37,217.82,3,2.71,320,2,56.91,0.01252,4,60.98,0.01341,10,12.6,0.221,18,0.7081,0.2613,19.34,12.13,0.007252545,0.3545,7.477,0.365,77.21719,1.356829907
RC2_F3_O_O11,Offices,Shared Cellular Offices,17,46.07,3,2.71,5,1,11.52,0.00253,3,33.2,0.0073,10,4.2,0.365,3,0.6775,0.25,19.05,11.84,0.008138542,0.14279,5.288,0.258,6.5783353,0.57103605
RC2_F3_O_O12,Offices,Shared Cellular Offices,24.75,67.07,3,2.71,50,2,25.07,0.00552,2,31.84,0.00701,10,4.2,0.168,6,1.0129,0.3738,18.71,11.5,0.007910811,0.17124,6.424,0.314,11.4850668,0.458119936
