id,SpaceType,SpaceType_1,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,F,Q4
RC2_F1_O_O02,Offices,Shared Cellular Offices,22.5,60.98,1,2.71,275,1,12.2,0.00268,3,39.3,0.00864,10,4.2,0.344,5,0.542,0.2,18.79,11.58,0.007193251,0.50688,6.874,0.335,30.9095424,2.533569049
RC2_F1_O_O03,Offices,Shared Cellular Offices,35,94.85,1,2.71,275,1,18.97,0.00417,3,46.07,0.01014,10,4.2,0.221,8,0.542,0.2,18.73,11.52,0.007070279,0.51652,6.975,0.34,48.991922,2.5826
RC2_F1_O_O04,Offices,Shared Cellular Offices,12.94,35.06,1,2.71,95,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21.74,14.53,0.009399628,0.047,4.514,0.22,1.64782,0.270134426
RC2_F1_O_O05,Offices,Single Cellular Office,11.25,30.49,1,2.71,275,1,6.1,0.00134,3,33.2,0.0073,10,2.1,0.344,1,0.542,0.2,19.75,12.54,0.007498787,0.55179,6.899,0.337,16.8240771,2.758045426
RC2_F1_O_O06,Offices,Shared Cellular Offices,12.94,35.06,1,2.71,95,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21.59,14.38,0.009681031,0.04483,4.346,0.212,1.5717398,0.257662262
RC2_F1_O_O07,Offices,Single Cellular Office,11.25,30.49,1,2.71,275,1,6.1,0.00134,3,33.2,0.0073,10,2.1,0.344,1,0.542,0.2,20.11,12.91,0.007888929,0.55679,6.942,0.339,16.9765271,2.78303723
RC2_F1_O_O08,Offices,Shared Cellular Offices,14.37,38.96,1,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,20.94,13.73,0.009602262,0.04383,4.234,0.207,1.7076168,0.251860885
RC2_F1_O_O09,Offices,Shared Cellular Offices,14.37,38.96,1,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,20.55,13.34,0.009448028,0.04339,4.233,0.207,1.6904744,0.249332507
RC2_F1_O_O10,Offices,Shared Cellular Offices,14.37,38.96,1,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,20.28,13.07,0.009234565,0.04313,4.341,0.212,1.6803448,0.247838466
RC2_F1_O_O11,Offices,Shared Cellular Offices,15.81,42.85,1,2.71,50,2,10.84,0.00238,3,35.23,0.00775,10,4.2,0.387,3,0.6855,0.253,19.9,12.69,0.008597143,0.09153,5.331,0.26,3.9220605,0.361813699
RC2_F1_O_O12,Offices,Shared Cellular Offices,33.38,90.45,1,2.71,50,2,31.84,0.00701,3,31.84,0.00701,10,8.4,0.264,7,0.9541,0.3521,19.4,12.19,0.008227147,0.15113,5.903,0.288,13.6697085,0.429325016
RC2_F1_O_O13,Offices,Shared Cellular Offices,12.75,34.55,1,2.71,5,1,8.13,0.00179,3,31.17,0.00686,10,2.1,0.258,2,0.6376,0.2353,19.88,12.67,0.008313132,0.16018,5.767,0.281,5.534219,0.680715744
RC2_F1_O_O14,Offices,Shared Cellular Offices,12.75,34.55,1,2.71,5,1,8.13,0.00179,3,31.17,0.00686,10,2.1,0.258,2,0.6376,0.2353,20.04,12.83,0.008423464,0.14879,5.34,0.261,5.1406945,0.632311747
RC2_F1_O_O15,Offices,Single Cellular Office,10.63,28.79,1,2.71,5,1,6.78,0.00149,3,29.81,0.00656,10,2.1,0.31,1,0.6376,0.2353,20.08,12.87,0.008006741,0.12723,4.521,0.221,3.6629517,0.540258363
RC2_F1_O_O16,Offices,Single Cellular Office,9.56,25.91,1,2.71,5,1,6.1,0.00134,3,29.13,0.00641,10,2.1,0.344,1,0.6376,0.2353,20.08,12.87,0.007998103,0.12734,4.489,0.219,3.2993794,0.540881869
RC2_F1_O_O17,Offices,Single Cellular Office,10.63,28.79,1,2.71,5,1,6.78,0.00149,3,29.81,0.00656,10,2.1,0.31,1,0.6376,0.2353,20.13,12.92,0.008116536,0.12722,4.403,0.215,3.6626638,0.5402159
RC2_F1_O_O18,Offices,Shared Cellular Offices,15,40.65,1,2.71,5,1,6.78,0.00149,3,42.68,0.00939,10,2.1,0.31,3,0.4517,0.1667,20.3,13.1,0.009288772,0.0904,3.732,0.182,3.67476,0.542
RC2_F1_O_O19,Offices,Shared Cellular Offices,12.94,35.06,1,2.71,185,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21.48,14.27,0.007733568,0.38128,7.523,0.367,13.3676768,2.191422426
RC2_F1_O_O20,Offices,Shared Cellular Offices,14.37,38.96,1,2.71,95,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,20.24,13.03,0.008101339,0.04255,4.994,0.244,1.657748,0.244505605
RC2_F1_O_O21,Offices,Shared Cellular Offices,15.81,42.85,1,2.71,95,1,7.45,0.00164,3,38.62,0.0085,10,2.1,0.282,3,0.4713,0.1739,20.35,13.14,0.00851981,0.04045,4.629,0.226,1.7332825,0.232655369
RC2_F1_O_O22,Offices,Shared Cellular Offices,23.75,64.36,1,2.71,275,1,12.87,0.00283,4,39.97,0.00879,10,6.3,0.489,5,0.542,0.2,18.98,11.77,0.007274617,0.51518,6.777,0.331,33.1569848,2.576300295
RC2_F1_O_O23,Offices,Shared Cellular Offices,17.25,46.75,1,2.71,95,1,8.13,0.00179,3,39.3,0.00864,10,2.1,0.258,3,0.4713,0.1739,20.45,13.24,0.0088692,0.03954,4.721,0.23,1.848495,0.227367159
RC2_F1_O_O25,Offices,Single Cellular Office,10,27.1,1,2.71,140,2,9.49,0.00209,3,25.75,0.00566,10,2.1,0.221,1,0.9485,0.35,19.42,12.22,0.00634151,0.52814,9.514,0.464,14.312594,1.508176396
RC2_F1_O_O26,Offices,Single Cellular Office,9,24.39,1,2.71,185,1,6.1,0.00134,3,27.78,0.00611,10,2.1,0.344,1,0.6775,0.25,19.36,12.15,0.006327251,0.50105,8.672,0.423,12.2206095,2.003378607
RC2_F1_O_O27,Offices,Single Cellular Office,10,27.1,1,2.71,185,1,6.78,0.00149,3,28.46,0.00626,10,2.1,0.31,1,0.6775,0.25,19.54,12.33,0.006336566,0.49551,8.592,0.419,13.428321,1.980578319
RC2_F1_O_O28,Offices,Single Cellular Office,10,27.1,1,2.71,185,1,6.78,0.00149,3,28.46,0.00626,10,2.1,0.31,1,0.6775,0.25,19.95,12.74,0.006348657,0.47371,8.48,0.414,12.837541,1.893442625
RC2_F1_O_O29,Offices,Single Cellular Office,9,24.39,1,2.71,185,1,6.1,0.00134,3,27.78,0.00611,10,2.1,0.344,1,0.6775,0.25,20.38,13.18,0.006436295,0.47227,8.441,0.412,11.5186653,1.888305787
RC2_F1_O_O30,Offices,Single Cellular Office,10,27.1,1,2.71,185,1,6.78,0.00149,3,28.46,0.00626,10,2.1,0.31,1,0.6775,0.25,20.73,13.52,0.006496484,0.47145,8.433,0.412,12.776295,1.884409292
RC2_F1_O_O31,Offices,Single Cellular Office,10,27.1,1,2.71,185,1,6.78,0.00149,3,28.46,0.00626,10,2.1,0.31,1,0.6775,0.25,21.18,13.97,0.006543717,0.47208,8.451,0.412,12.793368,1.886927434
RC2_F1_O_O32,Offices,Single Cellular Office,9,24.39,1,2.71,185,1,6.1,0.00134,3,27.78,0.00611,10,2.1,0.344,1,0.6775,0.25,21.58,14.38,0.006571827,0.47332,8.479,0.414,11.5442748,1.892504066
RC2_F1_O_O33,Offices,Single Cellular Office,10,27.1,1,2.71,185,1,6.78,0.00149,3,28.46,0.00626,10,2.1,0.31,1,0.6775,0.25,21.63,14.42,0.006584606,0.47269,8.472,0.413,12.809899,1.889365634
RC2_F1_O_O34,Offices,Single Cellular Office,11,29.81,1,2.71,185,1,7.45,0.00164,3,29.13,0.00641,10,2.1,0.282,1,0.6775,0.25,21.71,14.5,0.006625379,0.47246,8.463,0.413,14.0840326,1.890474174
RC2_F1_O_O35,Offices,Shared Cellular Offices,12.81,34.72,1,2.71,185,1,5.42,0.00119,4,40.65,0.00894,10,2.1,0.387,2,0.423,0.1561,21.71,14.5,0.007790238,0.29913,6.95,0.339,10.3857936,1.916198081
RC2_F1_O_O36,Offices,Shared Cellular Offices,15,40.65,1,2.71,5,1,6.78,0.00149,3,39.3,0.00864,10,2.1,0.31,3,0.4517,0.1667,19.75,12.54,0.007582515,0.10433,4.779,0.233,4.2410145,0.625518363
RC2_F1_O_O37,Offices,Shared Cellular Offices,20.25,54.88,1,2.71,5,1,6.78,0.00149,3,52.85,0.01163,10,2.1,0.31,5,0.3346,0.1235,20.28,13.07,0.008017954,0.07748,4.401,0.215,4.2521024,0.627153746
